Area Name,State,Region,NPS Fee Acres,NPS Less Than Fee Acres,Other Federal Fee Acres,Subtotal Federal Acres,Other Public Acres,Private Acres,Subtotal Non-Federal Acres,Gross Area Acres,,,
CANYON DE CHELLY NM,AZ,IM,0.00,0.00,0.00,0.00,0.00,"83,840.00","83,840.00","83,840.00",,,
CANYONLANDS NP,UT,IM,"337,269.40",301.03,0.00,"337,570.43",27.40,0.00,27.40,"337,597.83",,,
CAPE COD NS,MA,NE,"27,113.49",403.64,31.86,"27,548.99","14,556.22","1,503.22","16,059.44","43,608.43",,,
CAPE HATTERAS NS,NC,SE,"24,470.10",0.00,"5,880.00","30,350.10",0.00,0.55,0.55,"30,350.65",,,
CAPE KRUSENSTERN NM,AK,A,"617,157.16","10,033.51",0.00,"627,190.67",353.00,"21,552.48","21,905.48","649,096.15",,,
CAPE LOOKOUT NS,NC,SE,"13,915.70","11,243.40",14.52,"25,173.62","3,048.16",21.58,"3,069.74","28,243.36",,,
CAPITOL REEF NP,UT,IM,"241,234.29",0.00,0.00,"241,234.29",669.97,0.00,669.97,"241,904.26",,,
CAPULIN VOLCANO NM,NM,IM,792.84,0.00,0.00,792.84,0.00,0.00,0.00,792.84,,,
CARL SANDBURG HOME NHS,NC,SE,263.52,0.00,0.00,263.52,0.00,0.13,0.13,263.65,,,
CARLSBAD CAVERNS NP,NM,IM,"46,427.26",0.00,0.00,"46,427.26",0.00,339.19,339.19,"46,766.45",,,
CARTER G. WOODSON NHS,DC,NC,0.15,0.00,0.00,0.15,0.00,0.00,0.00,0.15,,,
CASA GRANDE RUINS NM,AZ,IM,472.50,0.00,0.00,472.50,0.00,0.00,0.00,472.50,,,
CASTILLO DE SAN MARCOS NM,FL,SE,19.31,0.00,0.00,19.31,0.06,0.01,0.07,19.38,,,
CASTLE CLINTON NM,NY,NE,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,,,
CASTLE MOUNTAINS NM,CA,PW,"20,902.00",0.00,0.00,"20,902.00",106.00,17.50,123.50,"21,025.50",,,
CATOCTIN MT PARK,MD,NC,"5,890.36",0.00,0.00,"5,890.36",0.00,1.13,1.13,"5,891.49",,,
CEDAR BREAKS NM,UT,IM,"6,154.60",0.00,0.00,"6,154.60",0.00,0.00,0.00,"6,154.60",,,
CEDAR CREEK/BELLE GROVE NHP,VA,NE,86.38,0.00,0.00,86.38,21.09,"3,598.73","3,619.82","3,706.20",,,
CÉSAR E. CHÁVEZ NM,CA,PW,1.90,8.60,0.00,10.50,0.00,106.06,106.06,116.56,,,
CHACO CULTURE NHP,NM,IM,"32,840.14",0.00,0.00,"32,840.14",0.00,"1,120.05","1,120.05","33,960.19",,,
CHAMIZAL NMEM,TX,IM,54.90,0.00,0.00,54.90,0.00,0.00,0.00,54.90,,,
CHANNEL ISLANDS NP,CA,PW,"69,425.66",0.00,"9,592.96","79,018.62","124,554.15","45,988.23","170,542.38","249,561.00",,,
CHARLES PINCKNEY NHS,SC,SE,28.45,0.00,0.00,28.45,0.00,0.00,0.00,28.45,,,
CHARLES YOUNG BUFF SOLDRS NM,OH,MW,59.66,0.00,0.00,59.66,0.00,0.00,0.00,59.66,,,
CHATTAHOOCHEE RVR NRA,GA,SE,"4,969.47",154.95,0.00,"5,124.42","3,274.46","2,151.18","5,425.64","10,550.06",,,
CHICK & CHATT NMP,GA-TN,SE,"8,974.17",12.89,0.00,"8,987.06",27.86,62.73,90.59,"9,077.65",,,
CHICKASAW NRA,OK,IM,"9,695.79",9.20,189.14,"9,894.13",4.50,0.00,4.50,"9,898.63",,,
CHIRICAHUA NM,AZ,IM,"11,172.38",0.00,850.00,"12,022.38",0.00,2.35,2.35,"12,024.73",,,
CHRISTIANSTED NHS,VI,SE,26.24,0.00,0.00,26.24,0.91,0.00,0.91,27.15,,,
CITY OF ROCKS NRESERVE,ID,PW,"9,680.28",0.00,0.00,"9,680.28",640.00,"4,086.91","4,726.91","14,407.19",,,
CLARA BARTON NHS,MD,NC,8.59,0.00,0.00,8.59,0.00,0.00,0.00,8.59,,,
COLONIAL NHP,VA,NE,"8,048.82",556.47,0.00,"8,605.29",68.83,2.79,71.62,"8,676.91",,,
COLORADO NM,CO,IM,"20,536.39",0.00,0.00,"20,536.39",0.00,0.00,0.00,"20,536.39",,,
CONGAREE NP,SC,SE,"26,020.66",0.00,0.00,"26,020.66",0.00,255.16,255.16,"26,275.82",,,
CONSTITUTION GARDENS,DC,NC,39.23,0.00,0.00,39.23,0.00,0.00,0.00,39.23,,,
CORONADO NMEM,AZ,IM,"4,827.19",0.00,1.03,"4,828.22",0.00,2.00,2.00,"4,830.22",,,
COWPENS NB,SC,SE,790.90,0.00,0.00,790.90,46.63,4.03,50.66,841.56,,,
CRATER LAKE NP,OR,PW,"183,223.77",0.00,0.00,"183,223.77",0.00,0.28,0.28,"183,224.05",,,
CRATERS OF THE MOON NM,ID,PW,"53,398.31",0.00,172.74,"53,571.05",0.00,0.00,0.00,"53,571.05",,,
CRATERS OF THE MOON NPRES,ID,PW,"410,732.92",0.00,0.00,"410,732.92",0.00,0.00,0.00,"410,732.92",,,
CUMBERLAND GAP NHP,KY-TN-VA,SE,"24,344.95",185.61,0.00,"24,530.56",10.06,6.21,16.27,"24,546.83",,,
CUMBERLAND ISLAND NS,GA,SE,"18,866.37",1.63,656.92,"19,524.92","13,820.15","3,001.76","16,821.91","36,346.83",,,
CURECANTI NRA,CO 1/,IM,"1,122.30",1.38,"41,971.04","43,094.72",0.00,0.00,0.00,"43,094.72",,,
CUYAHOGA VALLEY NP,OH,MW,"19,053.48","1,453.67",0.00,"20,507.15","8,456.92","3,608.28","12,065.20","32,572.35",,,
DAYTON AVIATION HR NHP,OH,MW,0.69,0.00,84.41,85.10,0.48,24.94,25.42,110.52,,,
DE SOTO NMEM,FL,SE,24.78,0.00,0.00,24.78,0.00,5.22,5.22,30.00,,,
DEATH VALLEY NP,CA-NV,PW,"3,320,765.33",0.00,393.99,"3,321,159.32","42,187.93","9,715.89","51,903.82","3,373,063.14",,,
DEL WATER GAP NRA,NJ-PA,NE,"57,220.12",53.06,0.00,"57,273.18","7,525.31","2,809.71","10,335.02","67,608.20",,,
DELAWARE NSR,NJ-PA,NE,0.00,0.00,0.00,0.00,"1,973.33",0.00,"1,973.33","1,973.33",,,
DENALI N PRESERVE,AK,A,"1,304,241.97",0.00,0.00,"1,304,241.97",640.00,"29,235.83","29,875.83","1,334,117.80",,,
DENALI NP,AK,A,"4,732,648.51",2.00,0.00,"4,732,650.51","5,663.00","2,597.65","8,260.65","4,740,911.16",,,
DEVILS POSTPILE NM,CA,PW,800.19,0.00,0.00,800.19,0.00,0.00,0.00,800.19,,,
DEVILS TOWER NM,WY,IM,"1,346.91",0.00,0.00,"1,346.91",0.00,0.30,0.30,"1,347.21",,,
DINOSAUR NM,CO-UT,IM,"203,097.93","2,667.58",0.00,"205,765.51",50.96,"4,465.45","4,516.41","210,281.92",,,
DRY TORTUGAS NP,FL,SE,"61,481.22",0.00,0.00,"61,481.22","3,220.00",0.00,"3,220.00","64,701.22",,,
EBEY'S LANDING NH RES,WA,PW,685.46,"2,067.21",0.00,"2,752.67",68.00,"16,512.34","16,580.34","19,333.01",,,
EDGAR ALLAN POE NHS,PA,NE,0.52,0.00,0.00,0.52,0.00,0.00,0.00,0.52,,,
EFFIGY MOUNDS NM,IA,MW,"2,526.39",0.00,0.00,"2,526.39",0.00,0.00,0.00,"2,526.39",,,
EISENHOWER NHS,PA,NE,687.37,3.09,0.00,690.46,0.00,0.00,0.00,690.46,,,
EL MALPAIS NM,NM,IM,"109,946.76",0.00,0.00,"109,946.76",435.61,"3,964.74","4,400.35","114,347.11",,,
EL MORRO NM,NM,IM,"1,039.92",0.00,0.00,"1,039.92",0.00,238.80,238.80,"1,278.72",,,
ELEANOR ROOSEVELT NHS,NY,NE,180.50,0.00,0.00,180.50,0.00,0.00,0.00,180.50,,,
EUGENE O'NEILL NHS,CA,PW,13.19,0.00,0.00,13.19,0.00,0.00,0.00,13.19,,,
EVERGLADES EXPANSION,FL 6/,SE,"108,103.90",0.00,1.92,"108,105.82",4.22,318.71,322.93,"108,428.75",,,
EVERGLADES NP,FL 6/,SE,"1,400,253.48",0.00,0.00,"1,400,253.48",0.00,285.82,285.82,"1,400,539.30",,,
FDR MEMORIAL,DC,NC,8.14,0.00,0.00,8.14,0.00,0.00,0.00,8.14,,,
FEDERAL HALL NMEM,NY,NE,0.45,0.00,0.00,0.45,0.00,0.00,0.00,0.45,,,
FIRE ISLAND NS,NY,NE,"3,090.44","3,151.51",0.00,"6,241.95","12,422.73",915.74,"13,338.47","19,580.42",,,
FIRST LADIES NHS,OH,MW,0.46,0.00,0.00,0.46,0.00,0.00,0.00,0.46,,,
FIRST STATE NHP,DE-PA,NE,"1,105.13",5.54,0.00,"1,110.67",2.47,41.90,44.37,"1,155.04",,,
FLIGHT 93 NATIONAL MEMORIAL,PA,NE,"1,641.41",0.00,0.00,"1,641.41",0.00,677.95,677.95,"2,319.36",,,
FLORISSANT FOSSIL BEDS NM,CO,IM,"5,992.32",0.00,0.00,"5,992.32",5.77,0.00,5.77,"5,998.09",,,
FORD'S THEATRE NHS,DC,NC,0.30,0.00,0.00,0.30,0.00,0.00,0.00,0.30,,,
FOSSIL BUTTE NM,WY,IM,"8,198.00",0.00,0.00,"8,198.00",0.00,0.00,0.00,"8,198.00",,,
FREDERICK DOUGLASS NHS,DC,NC,8.57,0.00,0.00,8.57,0.00,0.00,0.00,8.57,,,
FREDERICK LAW OLMSTED NHS,MA,NE,7.06,0.15,0.00,7.21,0.00,0.00,0.00,7.21,,,
FRED-SPOTS MEM NMP,VA,NE,"7,465.45",85.69,0.00,"7,551.14",13.20,840.84,854.04,"8,405.18",,,
FRIENDSHIP HILL NHS,PA,NE,661.44,0.00,0.00,661.44,0.00,13.12,13.12,674.56,,,
FT BOWIE NHS,AZ,IM,999.45,0.00,0.00,999.45,0.00,0.00,0.00,999.45,,,
FT CAROLINE NMEM,FL,SE,137.26,0.00,0.00,137.26,0.00,1.13,1.13,138.39,,,
FT DAVIS NHS,TX,IM,523.00,0.00,0.00,523.00,0.00,0.00,0.00,523.00,,,
FT DONELSON NB,TN-KY,SE,"1,017.07",0.00,226.49,"1,243.56",17.14,48.21,65.35,"1,308.91",,,
FT FREDERICA NM,GA,SE,281.02,2.18,0.00,283.20,0.00,1.29,1.29,284.49,,,
FT LARAMIE NHS,WY,IM,871.78,0.00,0.00,871.78,0.00,1.33,1.33,873.11,,,
FT LARNED NHS,KS,MW,410.46,269.20,0.00,679.66,38.73,0.00,38.73,718.39,,,
FT MATANZAS NM,FL,SE,298.51,0.00,0.00,298.51,0.00,1.60,1.60,300.11,,,
FT MCHENRY NM & HSHRIN,MD,NE,43.26,0.00,0.00,43.26,0.00,0.00,0.00,43.26,,,
FT MONROE NM,VA,NE,121.11,64.54,141.47,327.12,0.41,0.00,0.41,327.53,,,
FT NECESSITY NB,PA,NE,894.47,0.00,0.00,894.47,8.33,0.00,8.33,902.80,,,
FT POINT NHS,CA,PW,29.00,0.00,0.00,29.00,0.00,0.00,0.00,29.00,,,
FT PULASKI NM,GA,SE,"5,365.13",0.00,0.00,"5,365.13",257.97,0.00,257.97,"5,623.10",,,
FT RALEIGH NHS,NC,SE,355.45,0.00,0.00,355.45,18.09,139.39,157.48,512.93,,,
FT SCOTT NHS,KS,MW,16.69,0.00,0.00,16.69,0.00,0.00,0.00,16.69,,,
FT SMITH NHS,AR-OK,MW,31.75,0.41,5.80,37.96,1.44,35.60,37.04,75.00,,,
FT STANWIX NM,NY,NE,15.52,0.00,0.00,15.52,0.00,0.00,0.00,15.52,,,
FT SUMTER NM,SC,SE,164.60,61.06,4.97,230.63,4.11,0.00,4.11,234.74,,,
FT UNION NM,NM,IM,720.60,0.00,0.00,720.60,0.00,0.00,0.00,720.60,,,
FT UNION TRADING POST NHS,ND-MT,MW,246.80,123.43,0.00,370.23,67.29,2.62,69.91,440.14,,,
FT VANCOUVER NHS,WA,PW,164.70,0.63,32.08,197.41,9.31,0.00,9.31,206.72,,,
FT WASHINGTON PARK,MD,NC,341.00,0.00,0.00,341.00,0.00,0.00,0.00,341.00,,,
G W BIRTHPLACE NM,VA,NE,550.23,0.00,0.00,550.23,0.00,102.95,102.95,653.18,,,
G W MEMORIAL PKWY,MD-VA,NC,"6,270.93",460.16,88.17,"6,819.26",108.50,107.46,215.96,"7,035.22",,,
GATES OF ARCTIC N PRES,AK,A,"948,203.00",0.00,0.00,"948,203.00",0.00,405.07,405.07,"948,608.07",,,
GATES OF THE ARCTIC NP,AK,A,"7,273,702.20","86,108.00",0.00,"7,359,810.20","1,292.00","162,795.25","164,087.25","7,523,897.45",,,
GATEWAY NRA,NJ-NY,NE,"20,164.67",1.63,279.24,"20,445.54","5,558.90",602.19,"6,161.09","26,606.63",,,
GAULEY RIVER NRA,WV,NE,"4,473.20",61.67,43.36,"4,578.23",989.83,"5,998.40","6,988.23","11,566.46",,,
GENERAL GRANT NMEM,NY,NE,0.76,0.00,0.00,0.76,0.00,0.00,0.00,0.76,,,
GEORGE R CLARK NHP,IN,MW,25.30,0.00,0.00,25.30,0.87,0.00,0.87,26.17,,,
GEORGE WASH. CARVER NM,MO,MW,210.00,0.00,0.00,210.00,0.00,0.00,0.00,210.00,,,
GETTYSBURG NMP,PA,NE,"4,569.88",590.81,0.01,"5,160.70",43.21,828.63,871.84,"6,032.54",,,
GILA CLIFF DWELNGS NM,NM,IM,533.13,0.00,0.00,533.13,0.00,0.00,0.00,533.13,,,
GLACIER BAY N PRESERVE,AK,A,"58,406.00",0.00,0.00,"58,406.00",0.00,0.00,0.00,"58,406.00",,,
GLACIER BAY NP,AK,A,"3,222,284.20",0.00,0.00,"3,222,284.20",0.00,"1,099.23","1,099.23","3,223,383.43",,,
GLACIER NP,MT,IM,"1,012,845.75",54.34,0.00,"1,012,900.09",2.51,226.34,228.85,"1,013,128.94",,,
GLEN CANYON NRA,AZ-UT,IM,"1,238,621.99",0.00,"1,141.85","1,239,763.84","14,352.78",0.00,"14,352.78","1,254,116.62",,,
GOLDEN GATE NRA,CA,PW,"34,742.86",24.55,324.97,"35,092.38","44,382.21","2,552.27","46,934.48","82,026.86",,,
GOLDEN SPIKE NHS,UT,IM,"2,203.20",0.00,0.00,"2,203.20",0.00,532.08,532.08,"2,735.28",,,
GOVERNORS ISLAND NM,NY,NE,22.40,0.01,0.00,22.41,0.00,0.50,0.50,22.91,,,
GRAND CANYON NP,AZ,IM,"1,180,650.85",0.00,0.00,"1,180,650.85","11,860.00","9,136.18","20,996.18","1,201,647.03",,,
GRAND PORTAGE NM,MN,MW,709.97,0.00,0.00,709.97,0.00,0.00,0.00,709.97,,,
GRAND TETON NP,WY,IM,"272,837.32",8.85,"34,984.62","307,830.79","1,293.34",919.83,"2,213.17","310,043.96",,,
GRANT-KOHRS RANCH NHS,MT,IM,"1,325.83",165.63,0.00,"1,491.46",69.47,57.45,126.92,"1,618.38",,,
GREAT BASIN NP,NV,PW,"77,180.00",0.00,0.00,"77,180.00",0.00,0.00,0.00,"77,180.00",,,
GREAT EGG HARBOR N. RIVER,NJ,NE,0.00,0.00,0.00,0.00,"43,311.42",0.00,"43,311.42","43,311.42",,,
GREAT SAND DUNES N PRES,CO,IM,"41,686.00",0.00,0.00,"41,686.00",0.00,0.00,0.00,"41,686.00",,,
GREAT SAND DUNES NP,CO,IM,"94,687.84",0.00,0.00,"94,687.84",40.00,"12,614.03","12,654.03","107,341.87",,,
GREAT SMOKY MTS NP,TN-NC,SE,"521,984.15",92.58,0.00,"522,076.73",0.00,350.15,350.15,"522,426.88",,,
GREENBELT PARK,MD,NC,"1,105.79",0.00,0.00,"1,105.79",58.30,11.33,69.63,"1,175.42",,,
GUADALUPE MTS NP,TX,IM,"86,367.10",0.00,0.00,"86,367.10",0.00,0.00,0.00,"86,367.10",,,
GUILFORD COURTHS NMP,NC,SE,251.49,0.00,0.00,251.49,0.00,0.00,0.00,251.49,,,
GULF ISLANDS NS,FL-MS,SE,"95,223.93",2.09,"4,553.25","99,779.27","37,807.56",718.69,"38,526.25","138,305.52",,,
HAGERMAN FOSSIL BEDS,ID,PW,"4,334.65",0.00,0.00,"4,334.65",0.00,16.50,16.50,"4,351.15",,,
HALEAKALA NP,HI,PW,"33,264.47",0.00,0.00,"33,264.47",0.15,0.00,0.15,"33,264.62",,,
HAMILTON GRANGE NMEM,NY,NE,0.11,0.93,0.00,1.04,0.00,0.71,0.71,1.75,,,
HAMPTON NHS,MD,NE,62.04,0.00,0.00,62.04,0.00,0.00,0.00,62.04,,,
HARPERS FERRY NHP,MD-VA-WV,NC,"3,154.77",53.67,338.97,"3,547.41",59.10,49.71,108.81,"3,656.22",,,
HARRIET TUBMAN UNDRGR RR NHP,MD,NE,480.00,0.00,0.00,480.00,0.00,0.00,0.00,480.00,,,
HARRY S TRUMAN NHS,MO,MW,12.59,0.00,0.00,12.59,0.00,0.00,0.00,12.59,,,
HAWAII VOLCANOES NP,HI,PW,"323,431.38",0.00,0.00,"323,431.38",0.00,0.00,0.00,"323,431.38",,,
HERBERT HOOVER NHS,IA,MW,181.11,0.00,0.00,181.11,4.59,1.10,5.69,186.80,,,
HOHOKAM PIMA NM,AZ,IM,0.00,0.00,0.00,0.00,0.00,"1,690.00","1,690.00","1,690.00",,,
HOME OF F D R NHS,NY,NE,785.45,46.98,1.00,833.43,0.00,0.00,0.00,833.43,,,
HOMESTEAD NM OF AMERIC,NE,MW,181.11,24.07,0.00,205.18,5.91,0.00,5.91,211.09,,,
HONOULIULI NM,HI,PW,123.02,0.00,0.00,123.02,0.00,31.44,31.44,154.46,,,
HOPEWELL CULTURE NHP,OH,MW,"1,138.30",8.05,0.00,"1,146.35",0.11,619.70,619.81,"1,766.16",,,
HOPEWELL FURNACE NHS,PA,NE,848.06,0.00,0.00,848.06,0.00,0.00,0.00,848.06,,,
HORSESHOE BEND NMP,AL,SE,"2,040.00",0.00,0.00,"2,040.00",0.00,0.00,0.00,"2,040.00",,,
HOT SPRINGS NP,AR,MW,"4,998.10",0.00,0.00,"4,998.10",333.89,217.11,551.00,"5,549.10",,,
HOVENWEEP NM,CO-UT,IM,784.93,0.00,0.00,784.93,0.00,0.00,0.00,784.93,,,
HUBBELL T P NHS,AZ,IM,160.09,0.00,0.00,160.09,0.00,0.00,0.00,160.09,,,
INDEPENDENCE NHP,PA,NE,33.27,0.60,0.00,33.87,4.95,6.03,10.98,44.85,,,
INDIANA DUNES NL,IN,MW,"10,540.90",500.00,0.00,"11,040.90","3,416.75",889.48,"4,306.23","15,347.13",,,
ISLE ROYALE NP,MI,MW,"539,281.87",0.00,0.00,"539,281.87","32,508.24",0.00,"32,508.24","571,790.11",,,
J F KENNEDY NHS,MA,NE,0.09,0.00,0.00,0.09,0.00,0.00,0.00,0.09,,,
JAMES A GARFIELD NHS,OH,MW,7.82,0.00,0.00,7.82,0.00,0.00,0.00,7.82,,,
JDROCKEFELLER MEM PKWY,WY,IM,"23,777.22",0.00,0.00,"23,777.22",0.00,0.00,0.00,"23,777.22",,,
JEAN LAFITTE NHP &PRES,LA,SE,"17,568.13",0.40,0.00,"17,568.53","2,376.01","2,476.32","4,852.33","22,420.86",,,
JEFFERSON N EXPAN MEM,MO-IL,MW,85.46,5.50,0.00,90.96,16.64,85.23,101.87,192.83,,,
JEWEL CAVE NM,SD,MW,"1,273.51",0.00,0.00,"1,273.51",0.00,0.00,0.00,"1,273.51",,,
JIMMY CARTER NHS,GA,SE,36.81,8.81,1.92,47.54,0.00,24.67,24.67,72.21,,,
JOHN DAY FOS BEDS NM,OR,PW,"7,082.05","1,403.05","4,971.06","13,456.16",134.54,471.32,605.86,"14,062.02",,,
JOHN MUIR NHS,CA,PW,338.30,0.00,0.00,338.30,3.90,1.94,5.84,344.14,,,
JOHNSTOWN FLOOD NMEM,PA,NE,167.42,1.24,0.00,168.66,5.55,3.55,9.10,177.76,,,
JOSHUA TREE NP,CA,PW,"779,163.11",0.00,25.40,"779,188.51","2,572.74","8,874.49","11,447.23","790,635.74",,,
KALAUPAPA NHP,HI,PW,22.88,0.00,0.00,22.88,"10,684.00",72.00,"10,756.00","10,778.88",,,
KALOKO-HONOKOHAU NHP,HI,PW,615.90,0.00,0.00,615.90,518.83,28.32,547.15,"1,163.05",,,
KATAHDIN WOODS AND WATERS NM,ME,NE,"87,564.27",0.00,0.00,"87,564.27",0.00,0.00,0.00,"87,564.27",,,
KATMAI N PRESERVE,AK,A,"333,400.98",0.00,0.00,"333,400.98","76,881.00","8,416.82","85,297.82","418,698.80",,,
KATMAI NP,AK,A,"3,611,536.50",20.43,7.50,"3,611,564.43","50,172.00","12,792.90","62,964.90","3,674,529.33",,,
KENAI FJORDS NP,AK,A,"603,129.86",0.00,0.00,"603,129.86","19,302.00","47,218.19","66,520.19","669,650.05",,,
