Area Name,State,Region,NPS Fee Acres,NPS Less Than Fee Acres,Other Federal Fee Acres,Subtotal Federal Acres,Other Public Acres,Private Acres,Subtotal Non-Federal Acres,Gross Area Acres,,,
CITY OF ROCKS NRESERVE,ID,PWR,"10,000.28",0.00,0.00,"10,000.28",640.00,"3,766.91","4,406.91","14,407.19",,,
CLARA BARTON NHS,MD,NCR,8.59,0.00,0.00,8.59,0.00,0.00,0.00,8.59,,,
COLONIAL NHP,VA,NER,"8,048.82",556.47,0.00,"8,605.29",68.83,2.79,71.62,"8,676.91",,,
COLORADO NM,CO,IMR,"20,536.39",0.00,0.00,"20,536.39",0.00,0.00,0.00,"20,536.39",,,
CONGAREE NP,SC,SER,"26,384.83",0.00,0.00,"26,384.83",0.00,255.16,255.16,"26,639.99",,,
CONSTITUTION GARDENS,DC,NCR,39.23,0.00,0.00,39.23,0.00,0.00,0.00,39.23,,,
CORONADO NMEM,AZ,IMR,"4,828.22",0.00,0.00,"4,828.22",0.00,2.00,2.00,"4,830.22",,,
COWPENS NB,SC,SER,790.90,0.00,0.00,790.90,46.63,4.03,50.66,841.56,,,
CRATER LAKE NP,OR,PWR,"183,223.77",0.00,0.00,"183,223.77",0.00,0.28,0.28,"183,224.05",,,
CRATERS OF THE MOON NM,ID,PWR,"53,437.64",0.00,0.00,"53,437.64",0.00,0.00,0.00,"53,437.64",,,
CRATERS OF THE MOON NPRES,ID,PWR,"410,732.92",0.00,"273,488.22","684,221.14","8,156.91","6,561.64","14,718.55","698,939.69",,,
CUMBERLAND GAP NHP,KY-TN-VA,SER,"24,344.95",185.61,0.00,"24,530.56",10.06,6.21,16.27,"24,546.83",,,
CUMBERLAND ISLAND NS,GA,SER,"18,866.37",1.63,656.92,"19,524.92","13,820.15","3,001.76","16,821.91","36,346.83",,,
CURECANTI NRA,CO 1/,IMR,"1,122.30",1.38,"42,456.04","43,579.72",10.84,0.00,10.84,"43,590.56",,,
CUYAHOGA VALLEY NP,OH,MWR,"19,057.54","1,453.68",0.00,"20,511.22","8,458.96","3,601.70","12,060.66","32,571.88",,,
DAYTON AVIATION HR NHP,OH,MWR,0.69,0.00,84.41,85.10,0.48,24.94,25.42,110.52,,,
DE SOTO NMEM,FL,SER,24.78,0.00,0.00,24.78,0.00,5.22,5.22,30.00,,,
DEATH VALLEY NP,CA-NV,PWR,"3,320,765.33",0.00,393.99,"3,321,159.32","42,187.93","9,634.17","51,822.10","3,372,981.42",,,
DEL WATER GAP NRA,NJ-PA,NER,"58,314.56",54.20,0.00,"58,368.76","7,528.16","2,766.74","10,294.90","68,663.66",,,
DENALI N PRESERVE,AK,AKR,"1,304,241.97",0.00,0.00,"1,304,241.97",640.00,"29,235.83","29,875.83","1,334,117.80",,,
DENALI NP,AK,AKR,"4,732,648.51",2.00,0.00,"4,732,650.51","5,663.00","2,597.65","8,260.65","4,740,911.16",,,
DEVILS POSTPILE NM,CA,PWR,800.19,0.00,0.00,800.19,0.00,0.00,0.00,800.19,,,
DEVILS TOWER NM,WY,IMR,"1,346.91",0.00,0.00,"1,346.91",0.00,0.30,0.30,"1,347.21",,,
DINOSAUR NM,CO-UT,IMR,"203,097.93","2,667.58",0.00,"205,765.51",50.96,"4,465.45","4,516.41","210,281.92",,,
DRY TORTUGAS NP,FL,SER,"61,481.22",0.00,0.00,"61,481.22","3,220.00",0.00,"3,220.00","64,701.22",,,
EBEY'S LANDING NH RES,WA,PWR,686.18,"2,088.65",0.00,"2,774.83",68.00,"16,490.68","16,558.68","19,333.51",,,
EDGAR ALLAN POE NHS,PA,NER,0.52,0.00,0.00,0.52,0.00,0.00,0.00,0.52,,,
EFFIGY MOUNDS NM,IA,MWR,"2,526.39",0.00,0.00,"2,526.39",0.00,0.00,0.00,"2,526.39",,,
EISENHOWER NHS,PA,NER,687.37,3.09,0.00,690.46,0.00,0.00,0.00,690.46,,,
EL MALPAIS NM,NM,IMR,"109,946.76",0.00,0.00,"109,946.76",435.61,"3,964.74","4,400.35","114,347.11",,,
EL MORRO NM,NM,IMR,"1,039.92",0.00,0.00,"1,039.92",0.00,238.80,238.80,"1,278.72",,,
ELEANOR ROOSEVELT NHS,NY,NER,180.50,0.00,0.00,180.50,0.00,0.00,0.00,180.50,,,
EUGENE O'NEILL NHS,CA,PWR,13.19,0.00,0.00,13.19,0.00,0.00,0.00,13.19,,,
EVERGLADES EXPANSION,FL 6/,SER,"108,377.19",20.16,1.92,"108,399.27",0.00,0.00,0.00,"108,399.27",,,
EVERGLADES NP,FL 6/,SER,"1,400,253.48",0.00,0.00,"1,400,253.48",0.00,285.82,285.82,"1,400,539.30",,,
FDR MEMORIAL,DC,NCR,8.14,0.00,0.00,8.14,0.00,0.00,0.00,8.14,,,
FEDERAL HALL NMEM,NY,NER,0.45,0.00,0.00,0.45,0.00,0.00,0.00,0.45,,,
FIRE ISLAND NS,NY,NER,"3,090.67","3,151.51",0.00,"6,242.18","12,422.73",915.74,"13,338.47","19,580.65",,,
FIRST LADIES NHS,OH,MWR,0.46,0.00,0.00,0.46,0.00,0.00,0.00,0.46,,,
FIRST STATE NHP,DE-PA,NER,"1,105.13",5.54,0.00,"1,110.67",2.47,41.90,44.37,"1,155.04",,,
FLIGHT 93 NATIONAL MEMORIAL,PA,NER,"1,641.41",0.00,0.00,"1,641.41",0.00,677.95,677.95,"2,319.36",,,
FLORISSANT FOSSIL BEDS NM,CO,IMR,"5,992.32",0.00,0.00,"5,992.32",5.77,0.00,5.77,"5,998.09",,,
FORD'S THEATRE NHS,DC,NCR,0.30,0.00,0.00,0.30,0.00,0.00,0.00,0.30,,,
FOSSIL BUTTE NM,WY,IMR,"8,198.00",0.00,0.00,"8,198.00",0.00,0.00,0.00,"8,198.00",,,
FREDERICK DOUGLASS NHS,DC,NCR,8.57,0.00,0.00,8.57,0.00,0.00,0.00,8.57,,,
FREDERICK LAW OLMSTED NHS,MA,NER,7.06,0.15,0.00,7.21,0.00,0.00,0.00,7.21,,,
FRED-SPOTS MEM NMP,VA,NER,"7,466.21",85.69,0.00,"7,551.90",13.20,840.36,853.56,"8,405.46",,,
FREEDOM RIDERS NM,AL,SER,5.96,0.00,0.00,5.96,0.00,0.00,0.00,5.96,,,
FRIENDSHIP HILL NHS,PA,NER,661.44,0.00,0.00,661.44,0.00,13.12,13.12,674.56,,,
FT BOWIE NHS,AZ,IMR,999.45,0.00,0.00,999.45,0.00,0.00,0.00,999.45,,,
FT CAROLINE NMEM,FL,SER,137.26,0.00,0.00,137.26,0.00,1.13,1.13,138.39,,,
FT DAVIS NHS,TX,IMR,523.00,0.00,0.00,523.00,0.00,0.00,0.00,523.00,,,
FT DONELSON NB,TN-KY,SER,"1,027.16",0.00,226.49,"1,253.65",17.14,48.21,65.35,"1,319.00",,,
FT FREDERICA NM,GA,SER,281.02,2.18,0.00,283.20,0.00,1.29,1.29,284.49,,,
FT LARAMIE NHS,WY,IMR,871.78,0.00,0.00,871.78,0.00,1.33,1.33,873.11,,,
FT LARNED NHS,KS,MWR,410.46,269.20,0.00,679.66,38.73,0.00,38.73,718.39,,,
FT MATANZAS NM,FL,SER,298.51,0.00,0.00,298.51,0.00,1.60,1.60,300.11,,,
FT MCHENRY NM & HSHRIN,MD,NER,43.26,0.00,0.00,43.26,0.00,0.00,0.00,43.26,,,
FT MONROE NM,VA,NER,121.11,64.54,141.47,327.12,40.00,0.00,40.00,367.12,,,
FT NECESSITY NB,PA,NER,894.47,0.00,0.00,894.47,8.33,0.00,8.33,902.80,,,
FT POINT NHS,CA,PWR,29.00,0.00,0.00,29.00,0.00,0.00,0.00,29.00,,,
FT PULASKI NM,GA,SER,"5,365.13",0.00,0.00,"5,365.13",257.97,0.00,257.97,"5,623.10",,,
FT RALEIGH NHS,NC,SER,355.45,0.00,0.00,355.45,18.09,139.39,157.48,512.93,,,
FT SCOTT NHS,KS,MWR,16.69,0.00,0.00,16.69,0.00,0.00,0.00,16.69,,,
FT SMITH NHS,AR-OK,MWR,31.75,0.41,5.80,37.96,1.44,35.60,37.04,75.00,,,
FT STANWIX NM,NY,NER,15.52,0.00,0.00,15.52,0.00,0.00,0.00,15.52,,,
FT SUMTER NM,SC,SER,164.60,61.06,4.97,230.63,4.11,0.00,4.11,234.74,,,
FT UNION NM,NM,IMR,720.60,0.00,0.00,720.60,0.00,0.00,0.00,720.60,,,
FT UNION TRADING POST NHS,ND-MT,MWR,246.80,123.43,0.00,370.23,67.29,2.62,69.91,440.14,,,
FT VANCOUVER NHS,WA,PWR,164.70,0.63,32.08,197.41,9.31,0.00,9.31,206.72,,,
FT WASHINGTON PARK,MD,NCR,341.00,0.00,0.00,341.00,0.00,0.00,0.00,341.00,,,
G W BIRTHPLACE NM,VA,NER,550.23,0.00,0.00,550.23,0.00,102.95,102.95,653.18,,,
G W MEMORIAL PKWY,MD-VA,NCR,"6,270.30",460.16,88.94,"6,819.40",110.15,107.46,217.61,"7,037.01",,,
GATES OF ARCTIC N PRES,AK,AKR,"948,203.00",0.00,0.00,"948,203.00",0.00,405.07,405.07,"948,608.07",,,
GATES OF THE ARCTIC NP,AK,AKR,"7,276,030.20","83,780.00",0.00,"7,359,810.20","1,292.00","162,795.25","164,087.25","7,523,897.45",,,
GATEWAY ARCH NP,MO-IL,MWR,85.46,5.50,0.00,90.96,16.64,85.23,101.87,192.83,,,
GATEWAY NRA,NJ-NY,NER,"20,164.67",1.63,279.24,"20,445.54","5,558.90",602.19,"6,161.09","26,606.63",,,
GAULEY RIVER NRA,WV,NER,"4,817.11",61.67,43.36,"4,922.14",989.83,"5,654.49","6,644.32","11,566.46",,,
GENERAL GRANT NMEM,NY,NER,0.76,0.00,0.00,0.76,0.00,0.00,0.00,0.76,,,
GEORGE R CLARK NHP,IN,MWR,25.30,0.00,0.00,25.30,0.87,0.00,0.87,26.17,,,
GEORGE WASH. CARVER NM,MO,MWR,240.00,0.00,0.00,240.00,0.00,0.00,0.00,240.00,,,
GETTYSBURG NMP,PA,NER,"4,572.80",590.81,0.01,"5,163.62",5.28,863.75,869.03,"6,032.65",,,
GILA CLIFF DWELNGS NM,NM,IMR,533.13,0.00,0.00,533.13,0.00,0.00,0.00,533.13,,,
GLACIER BAY N PRESERVE,AK,AKR,"58,406.00",0.00,0.00,"58,406.00",0.00,0.00,0.00,"58,406.00",,,
GLACIER BAY NP,AK,AKR,"3,222,284.20",0.00,0.00,"3,222,284.20",0.00,"1,099.23","1,099.23","3,223,383.43",,,
GLACIER NP,MT,IMR,"1,012,842.80",54.34,0.00,"1,012,897.14",2.51,226.34,228.85,"1,013,125.99",,,
GLEN CANYON NRA,AZ-UT,IMR,"1,238,621.99",0.00,"1,141.85","1,239,763.84","14,352.78",0.00,"14,352.78","1,254,116.62",,,
GOLDEN GATE NRA,CA,PWR,"34,742.93","22,246.33",324.97,"57,314.23","22,285.73","2,516.07","24,801.80","82,116.03",,,
GOLDEN SPIKE NHS,UT,IMR,"2,203.20",0.00,0.00,"2,203.20",0.00,532.08,532.08,"2,735.28",,,
GOVERNORS ISLAND NM,NY,NER,22.40,0.01,0.00,22.41,0.00,0.50,0.50,22.91,,,
GRAND CANYON NP,AZ,IMR,"1,180,650.85",0.00,0.00,"1,180,650.85","11,860.00","9,136.18","20,996.18","1,201,647.03",,,
GRAND PORTAGE NM,MN,MWR,709.97,0.00,0.00,709.97,0.00,0.00,0.00,709.97,,,
GRAND TETON NP,WY,IMR,"273,477.58",165.59,"34,984.62","308,627.79",496.60,919.97,"1,416.57","310,044.36",,,
GRANT-KOHRS RANCH NHS,MT,IMR,"1,325.83",165.63,0.00,"1,491.46",69.47,57.50,126.97,"1,618.43",,,
GREAT BASIN NP,NV,PWR,"77,180.00",0.00,0.00,"77,180.00",0.00,0.00,0.00,"77,180.00",,,
GREAT EGG HARBOR N. RIVER,NJ,NER,0.00,0.00,0.00,0.00,"43,311.42",0.00,"43,311.42","43,311.42",,,
GREAT SAND DUNES N PRES,CO,IMR,"41,686.00",0.00,0.00,"41,686.00",0.00,0.00,0.00,"41,686.00",,,
GREAT SAND DUNES NP,CO,IMR,"94,687.84",0.00,0.00,"94,687.84",40.00,"12,614.03","12,654.03","107,341.87",,,
GREAT SMOKY MTS NP,TN-NC,SER,"521,984.15",92.58,0.00,"522,076.73",0.00,350.15,350.15,"522,426.88",,,
GREENBELT PARK,MD,NCR,"1,105.79",0.00,0.00,"1,105.79",58.30,11.33,69.63,"1,175.42",,,
GUADALUPE MTS NP,TX,IMR,"86,367.10",0.00,0.00,"86,367.10",0.00,0.00,0.00,"86,367.10",,,
GUILFORD COURTHS NMP,NC,SER,252.64,0.00,0.00,252.64,0.00,0.00,0.00,252.64,,,
GULF ISLANDS NS,FL-MS,SER,"95,223.93",2.09,"4,553.25","99,779.27","37,807.56",718.69,"38,526.25","138,305.52",,,
HAGERMAN FOSSIL BEDS,ID,PWR,"4,334.65",0.00,0.00,"4,334.65",0.00,16.50,16.50,"4,351.15",,,
HALEAKALA NP,HI,PWR,"33,264.47",0.00,0.00,"33,264.47",0.15,0.00,0.15,"33,264.62",,,
HAMILTON GRANGE NMEM,NY,NER,0.11,0.93,0.00,1.04,0.00,0.71,0.71,1.75,,,
HAMPTON NHS,MD,NER,62.04,0.00,0.00,62.04,0.00,0.00,0.00,62.04,,,
HARPERS FERRY NHP,MD-VA-WV,NCR,"3,167.77",53.67,338.97,"3,560.41",59.10,49.68,108.78,"3,669.19",,,
HARRIET TUBMAN NHP,NY,NER,0.50,0.00,0.00,0.50,0.00,31.00,31.00,31.50,,,
HARRIET TUBMAN UNDRGR RR NHP,MD,NER,480.00,0.00,0.00,480.00,0.00,0.00,0.00,480.00,,,
HARRY S TRUMAN NHS,MO,MWR,12.59,0.00,0.00,12.59,0.00,0.00,0.00,12.59,,,
HAWAII VOLCANOES NP,HI,PWR,"325,605.28",0.00,0.00,"325,605.28",0.00,0.00,0.00,"325,605.28",,,
HERBERT HOOVER NHS,IA,MWR,181.11,0.00,0.00,181.11,4.59,1.10,5.69,186.80,,,
HOHOKAM PIMA NM,AZ,IMR,0.00,0.00,0.00,0.00,0.00,"1,690.00","1,690.00","1,690.00",,,
HOME OF F D R NHS,NY,NER,785.45,46.98,1.00,833.43,0.00,0.00,0.00,833.43,,,
HOMESTEAD NM OF AMERIC,NE,MWR,180.47,24.07,0.00,204.54,5.91,0.00,5.91,210.45,,,
HONOULIULI NM,HI,PWR,123.02,0.00,0.00,123.02,0.00,31.44,31.44,154.46,,,
HOPEWELL CULTURE NHP,OH,MWR,"1,138.30",8.05,0.00,"1,146.35",0.11,623.25,623.36,"1,769.71",,,
HOPEWELL FURNACE NHS,PA,NER,848.06,0.00,0.00,848.06,0.00,0.00,0.00,848.06,,,
HORSESHOE BEND NMP,AL,SER,"2,040.00",0.00,0.00,"2,040.00",0.00,0.00,0.00,"2,040.00",,,
HOT SPRINGS NP,AR,MWR,"5,003.00",0.00,0.00,"5,003.00",333.30,215.46,548.76,"5,551.76",,,
HOVENWEEP NM,CO-UT,IMR,784.93,0.00,0.00,784.93,0.00,0.00,0.00,784.93,,,
HUBBELL T P NHS,AZ,IMR,160.09,0.00,0.00,160.09,0.00,0.00,0.00,160.09,,,
INDEPENDENCE NHP,PA,NER,33.27,1.47,0.02,34.76,4.95,5.16,10.11,44.87,,,
INDIANA DUNES NL,IN,MWR,"10,561.25",538.31,0.00,"11,099.56","3,417.95",830.92,"4,248.87","15,348.43",,,
ISLE ROYALE NP,MI,MWR,"539,281.91",0.00,0.00,"539,281.91","32,508.39",0.00,"32,508.39","571,790.30",,,
J F KENNEDY NHS,MA,NER,0.09,0.00,0.00,0.09,0.00,0.00,0.00,0.09,,,
JAMES A GARFIELD NHS,OH,MWR,7.82,0.00,0.00,7.82,0.00,0.00,0.00,7.82,,,
JDROCKEFELLER MEM PKWY,WY,IMR,"23,777.22",0.00,0.00,"23,777.22",0.00,0.00,0.00,"23,777.22",,,
JEAN LAFITTE NHP &PRES,LA,SER,"21,080.30",0.40,0.00,"21,080.70","2,354.12","2,441.04","4,795.16","25,875.86",,,
JEWEL CAVE NM,SD,MWR,"1,273.51",0.00,0.00,"1,273.51",0.00,0.00,0.00,"1,273.51",,,
JIMMY CARTER NHS,GA,SER,36.81,8.81,1.92,47.54,0.00,24.67,24.67,72.21,,,
JOHN DAY FOS BEDS NM,OR,PWR,"7,082.05","1,403.05","4,971.06","13,456.16",134.54,471.49,606.03,"14,062.19",,,
JOHN MUIR NHS,CA,PWR,338.30,0.00,0.00,338.30,3.90,1.94,5.84,344.14,,,
JOHNSTOWN FLOOD NMEM,PA,NER,167.77,1.24,0.00,169.01,5.55,3.20,8.75,177.76,,,
JOSHUA TREE NP,CA,PWR,"779,163.11",0.00,25.40,"779,188.51","2,572.74","8,874.49","11,447.23","790,635.74",,,
KALAUPAPA NHP,HI,PWR,22.88,0.00,0.00,22.88,"10,684.00",72.00,"10,756.00","10,778.88",,,
KALOKO-HONOKOHAU NHP,HI,PWR,615.90,0.00,0.00,615.90,518.83,28.32,547.15,"1,163.05",,,
